customer_id,tenure,monthly_charges,total_charges,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,num_services,churn
CUST00001,52,99.76,4607.15,0,1,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer,0,0
CUST00002,15,115.88,1541.66,0,0,0,1,0,DSL,1,0,1,0,1,1,One year,1,Electronic check,4,0
CUST00003,72,67.76,4480.72,0,1,0,1,0,No,1,0,1,0,0,0,Month-to-month,1,Credit card,2,0
CUST00004,61,29.19,1666.62,1,0,0,1,1,DSL,0,0,0,1,0,0,Month-to-month,1,Credit card,2,0
CUST00005,21,73.89,1576.81,0,0,0,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,1,0
CUST00006,24,64.35,1349.77,0,0,0,1,1,No,1,0,1,1,1,1,One year,1,Bank transfer,6,0
CUST00007,3,104.12,311.42,0,0,0,1,1,DSL,0,0,1,0,0,1,Two year,1,Electronic check,3,1
CUST00008,22,28.0,589.08,0,0,0,1,1,No,1,1,0,0,1,0,Two year,0,Mailed check,4,0
CUST00009,53,67.8,3261.33,0,1,0,1,0,No,0,0,0,0,1,1,Month-to-month,1,Bank transfer,2,0
CUST00010,2,33.3,63.17,0,1,0,1,0,No,1,0,1,1,1,1,Two year,0,Bank transfer,5,1
CUST00011,30,51.12,1395.56,0,0,0,1,0,DSL,1,1,0,1,1,0,One year,1,Bank transfer,4,0
CUST00012,38,93.21,3432.95,0,0,0,0,0,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,3,1
CUST00013,2,66.55,124.68,0,1,0,1,0,Fiber optic,1,0,1,0,1,0,Month-to-month,0,Mailed check,3,1
CUST00014,64,56.34,3183.46,0,1,0,1,1,No,0,1,0,0,1,1,Month-to-month,0,Electronic check,4,0
CUST00015,60,58.24,3051.72,0,0,0,1,0,DSL,0,0,0,0,0,1,Two year,1,Bank transfer,1,0
CUST00016,21,64.86,1306.68,0,1,0,1,1,Fiber optic,0,0,0,1,0,1,One year,1,Mailed check,3,0
CUST00017,33,98.07,3334.96,0,1,0,1,1,DSL,1,0,1,1,0,0,One year,1,Bank transfer,4,0
CUST00018,58,108.99,5808.07,0,1,0,1,0,DSL,1,1,0,0,0,1,Month-to-month,0,Electronic check,3,0
CUST00019,22,115.44,2531.05,0,1,1,1,1,Fiber optic,0,0,1,1,0,0,One year,0,Electronic check,3,1
CUST00020,49,98.26,4726.79,1,1,1,1,1,No,0,1,1,1,1,1,Month-to-month,1,Electronic check,6,0
CUST00021,59,50.17,3067.51,0,1,0,1,0,Fiber optic,1,0,0,0,1,1,Month-to-month,0,Electronic check,3,1
CUST00022,42,88.19,3756.56,0,0,1,1,0,Fiber optic,1,1,1,0,0,0,One year,1,Mailed check,3,0
CUST00023,60,62.64,3620.55,0,1,0,0,0,No,1,0,0,1,1,0,Month-to-month,0,Credit card,3,0
CUST00024,15,43.98,647.43,1,1,0,1,0,Fiber optic,0,0,1,1,0,1,Two year,1,Credit card,3,1
CUST00025,62,103.77,6624.68,0,1,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,0
CUST00026,62,21.92,1263.78,0,1,0,0,0,Fiber optic,0,1,1,1,1,1,One year,1,Mailed check,5,0
CUST00027,47,109.98,4731.55,0,0,0,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Electronic check,3,1
CUST00028,62,65.07,3437.91,0,0,0,1,0,Fiber optic,1,1,0,1,0,1,One year,1,Credit card,4,0
CUST00029,51,82.99,4297.29,0,0,0,0,0,No,1,1,1,1,0,0,Month-to-month,0,Electronic check,4,0
CUST00030,55,85.25,4736.56,0,0,0,1,1,Fiber optic,1,0,0,1,0,0,Month-to-month,0,Credit card,3,1
CUST00031,64,109.3,6092.06,1,0,0,1,1,Fiber optic,1,1,1,1,0,1,Two year,0,Mailed check,6,0
CUST00032,3,82.94,240.2,1,1,0,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Mailed check,4,0
CUST00033,51,80.62,3876.42,0,0,0,1,0,DSL,1,0,0,1,1,0,Two year,1,Credit card,3,0
CUST00034,7,24.8,151.68,0,1,0,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Electronic check,6,0
CUST00035,21,70.88,1557.12,0,1,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer,1,1
CUST00036,39,33.32,1160.36,0,0,1,1,0,DSL,1,0,1,1,1,1,Month-to-month,1,Mailed check,5,1
CUST00037,18,93.22,1448.83,0,0,0,1,0,Fiber optic,0,0,0,1,0,0,One year,0,Electronic check,1,1
CUST00038,4,70.25,272.28,1,1,0,1,0,DSL,0,0,0,0,1,0,Two year,0,Mailed check,1,1
CUST00039,60,87.38,5231.13,0,1,1,1,0,DSL,1,1,1,0,0,0,Two year,1,Bank transfer,3,0
CUST00040,14,22.25,266.8,0,1,0,1,1,Fiber optic,1,0,0,1,1,0,Month-to-month,0,Bank transfer,4,1
CUST00041,9,26.65,235.47,1,1,0,0,0,Fiber optic,1,1,0,1,1,1,One year,1,Electronic check,5,1
CUST00042,53,91.06,4616.04,0,1,0,1,1,No,0,0,1,1,1,1,Month-to-month,1,Credit card,5,0
CUST00043,2,25.35,44.14,0,1,1,1,0,Fiber optic,1,0,0,1,0,0,Two year,1,Electronic check,2,1
CUST00044,60,25.27,1341.09,0,1,0,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Electronic check,5,0
CUST00045,71,19.24,1316.31,0,1,0,1,0,No,0,1,1,1,1,1,Month-to-month,0,Electronic check,5,0
