customer_id,tenure,monthly_charges,total_charges,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,num_services,churn,churn_prob,risk_segment,monthly_revenue_risk
CUST00001,52,99.76,4607.15,0,1,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer,0,0,0.15346930157894392,Low risk,15.310097525515447
CUST00002,15,115.88,1541.66,0,0,0,1,0,DSL,1,0,1,0,1,1,One year,1,Electronic check,4,0,0.31366325998271016,Medium risk,36.347298566796454
CUST00003,72,67.76,4480.72,0,1,0,1,0,No,1,0,1,0,0,0,Month-to-month,1,Credit card,2,0,0.044800687340347006,Low risk,3.0356945741819135
CUST00004,61,29.19,1666.62,1,0,0,1,1,DSL,0,0,0,1,0,0,Month-to-month,1,Credit card,2,0,0.34393488637034636,Medium risk,10.039459333150411
CUST00005,21,73.89,1576.81,0,0,0,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,1,0,0.8009111727224135,High risk,59.17932655245914
CUST00006,24,64.35,1349.77,0,0,0,1,1,No,1,0,1,1,1,1,One year,1,Bank transfer,6,0,0.31819749596006625,Medium risk,20.476008865030263
CUST00007,3,104.12,311.42,0,0,0,1,1,DSL,0,0,1,0,0,1,Two year,1,Electronic check,3,1,0.2716397536756477,Low risk,28.28313115270844
CUST00008,22,28.0,589.08,0,0,0,1,1,No,1,1,0,0,1,0,Two year,0,Mailed check,4,0,0.30510133169260456,Medium risk,8.542837287392928
CUST00009,53,67.8,3261.33,0,1,0,1,0,No,0,0,0,0,1,1,Month-to-month,1,Bank transfer,2,0,0.10780404406811733,Low risk,7.309114187818355
CUST00010,2,33.3,63.17,0,1,0,1,0,No,1,0,1,1,1,1,Two year,0,Bank transfer,5,1,0.4482660694200127,Medium risk,14.92726011168642
CUST00011,30,51.12,1395.56,0,0,0,1,0,DSL,1,1,0,1,1,0,One year,1,Bank transfer,4,0,0.3677269686494275,Medium risk,18.798202637358735
CUST00012,38,93.21,3432.95,0,0,0,0,0,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,3,1,0.3709630911603101,Medium risk,34.5774697270525
CUST00013,2,66.55,124.68,0,1,0,1,0,Fiber optic,1,0,1,0,1,0,Month-to-month,0,Mailed check,3,1,0.8570812045137294,High risk,57.038754160388685
CUST00014,64,56.34,3183.46,0,1,0,1,1,No,0,1,0,0,1,1,Month-to-month,0,Electronic check,4,0,0.10082139512394164,Low risk,5.680277401282872
CUST00015,60,58.24,3051.72,0,0,0,1,0,DSL,0,0,0,0,0,1,Two year,1,Bank transfer,1,0,0.025372815232260135,Low risk,1.4777127591268302
CUST00016,21,64.86,1306.68,0,1,0,1,1,Fiber optic,0,0,0,1,0,1,One year,1,Mailed check,3,0,0.537254489013259,Medium risk,34.84632615739998
CUST00017,33,98.07,3334.96,0,1,0,1,1,DSL,1,0,1,1,0,0,One year,1,Bank transfer,4,0,0.16098428792538358,Low risk,15.787729116842366
CUST00018,58,108.99,5808.07,0,1,0,1,0,DSL,1,1,0,0,0,1,Month-to-month,0,Electronic check,3,0,0.054216763748218925,Low risk,5.909085080918381
CUST00019,22,115.44,2531.05,0,1,1,1,1,Fiber optic,0,0,1,1,0,0,One year,0,Electronic check,3,1,0.42651262030115206,Medium risk,49.23661688756499
CUST00020,49,98.26,4726.79,1,1,1,1,1,No,0,1,1,1,1,1,Month-to-month,1,Electronic check,6,0,0.11588221805651948,Low risk,11.386586746233604
CUST00021,59,50.17,3067.51,0,1,0,1,0,Fiber optic,1,0,0,0,1,1,Month-to-month,0,Electronic check,3,1,0.28886584600118553,Low risk,14.492399493879478
CUST00022,42,88.19,3756.56,0,0,1,1,0,Fiber optic,1,1,1,0,0,0,One year,1,Mailed check,3,0,0.15720391534267683,Low risk,13.863813294070669
CUST00023,60,62.64,3620.55,0,1,0,0,0,No,1,0,0,1,1,0,Month-to-month,0,Credit card,3,0,0.10709311329188466,Low risk,6.7083126166036555
CUST00024,15,43.98,647.43,1,1,0,1,0,Fiber optic,0,0,1,1,0,1,Two year,1,Credit card,3,1,0.5668926095331763,Medium risk,24.931936967269092
CUST00025,62,103.77,6624.68,0,1,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,0,0.08294759318280394,Low risk,8.607471744579565
CUST00026,62,21.92,1263.78,0,1,0,0,0,Fiber optic,0,1,1,1,1,1,One year,1,Mailed check,5,0,0.16898022550806932,Low risk,3.70404654313688
CUST00027,47,109.98,4731.55,0,0,0,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Electronic check,3,1,0.21919602157275325,Low risk,24.107178452571404
CUST00028,62,65.07,3437.91,0,0,0,1,0,Fiber optic,1,1,0,1,0,1,One year,1,Credit card,4,0,0.07671800949151861,Low risk,4.992040877613115
CUST00029,51,82.99,4297.29,0,0,0,0,0,No,1,1,1,1,0,0,Month-to-month,0,Electronic check,4,0,0.1618441373428582,Low risk,13.431444958083802
CUST00030,55,85.25,4736.56,0,0,0,1,1,Fiber optic,1,0,0,1,0,0,Month-to-month,0,Credit card,3,1,0.2035972706753032,Low risk,17.356667325069598
CUST00031,64,109.3,6092.06,1,0,0,1,1,Fiber optic,1,1,1,1,0,1,Two year,0,Mailed check,6,0,0.01283092717938345,Low risk,1.402420340706611
CUST00032,3,82.94,240.2,1,1,0,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Mailed check,4,0,0.706677890973235,High risk,58.61186427732011
CUST00033,51,80.62,3876.42,0,0,0,1,0,DSL,1,0,0,1,1,0,Two year,1,Credit card,3,0,0.028768009953664662,Low risk,2.3192769624644454
CUST00034,7,24.8,151.68,0,1,0,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Electronic check,6,0,0.733528523524053,High risk,18.191507383396512
CUST00035,21,70.88,1557.12,0,1,1,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer,1,1,0.6437620909029544,High risk,45.62985700320141
CUST00036,39,33.32,1160.36,0,0,1,1,0,DSL,1,0,1,1,1,1,Month-to-month,1,Mailed check,5,1,0.4853232559107928,Medium risk,16.170970886947615
